Sample,EGFR,PDGFRA,PTEN,NF1,TP53,RB1,CDKN2A,CDKN2B,MDM2,MDM4,CDK4,CDK6,MET,PIK3CA,PIK3R1,PIK3CB,IDH1,IDH2,ATRX,CIC,FUBP1,NOTCH1,TERT,MGMT,OLIG2,GFAP,SOX2,NES,CD44,CHI3L1,VEGFA,MKI67,BCAN,DLL3,POSTN,SERPINE1,TIMP1,LGALS1,ANXA1,CASP8
GSM405201,7.2183,4.5325,6.8914,5.603,6.9431,7.5067,4.7361,4.3489,4.6427,8.223,10.8873,5.2605,4.2657,7.0157,11.1779,6.5741,10.6793,7.3799,8.9566,7.5522,7.8542,7.38,5.2123,5.1291,11.0408,7.3425,9.6768,7.2344,4.7599,4.1647,7.0168,6.7423,10.7111,8.2508,3.8908,4.9678,8.8268,8.9364,5.486,4.2369
GSM405202,5.6469,4.2088,7.3021,5.4848,5.947,7.8185,7.1398,5.5625,4.7179,8.3022,10.166,4.8775,6.1857,7.2428,10.0583,6.5132,10.5817,7.7692,7.5057,7.6178,7.5634,6.5853,4.5998,6.1409,8.852,8.9691,9.1552,6.8791,8.2613,9.1082,6.5373,5.6992,9.3247,6.1598,6.3382,7.5612,11.0324,11.0964,7.8609,5.5479
GSM405203,7.4427,4.5504,7.2852,5.6383,6.6387,7.369,5.0419,5.7683,4.2632,7.5057,10.5809,4.809,4.9807,6.7806,11.385,6.9127,10.5824,8.5271,9.4345,7.657,7.5464,7.2408,4.7943,6.708,10.2416,9.2066,9.6684,8.8291,6.3746,7.8806,7.4695,5.7613,9.868,6.8355,4.3383,5.7183,11.1133,11.9474,6.6877,4.6964
GSM405204,6.808,3.9672,7.8983,5.7113,6.3412,8.1354,4.267,4.1786,4.9468,8.3895,10.334,4.6635,4.8886,7.6491,11.5695,7.0135,10.8849,8.2233,9.3366,7.6581,6.4147,7.0614,4.9821,6.6974,9.7329,11.199,10.0965,7.649,7.4107,4.876,8.9912,7.9464,9.0353,6.8115,4.1853,5.6884,9.9531,12.1472,6.4829,4.8738
GSM405205,7.4603,4.6256,8.256,5.6919,6.139,7.8689,7.6443,7.0388,4.5087,7.6389,11.1377,5.0524,5.6577,6.801,10.4232,6.133,11.1441,7.3536,9.4451,7.6677,6.6079,6.8495,5.1202,6.3032,7.6887,11.956,9.5965,7.4824,8.9373,10.727,8.6859,8.2711,8.0101,6.6519,7.1942,6.9411,12.353,13.1179,7.1696,5.4937
GSM405206,7.7049,4.2262,6.9075,6.0142,6.4733,7.4403,6.2136,4.7521,4.5619,7.8518,10.6385,4.7766,4.4363,7.2001,11.2169,6.9381,10.5983,7.8886,9.3912,7.6133,7.6061,7.4192,5.2854,6.1453,11.1003,9.3896,10.0817,8.0583,4.6622,4.9994,6.4921,6.4763,10.439,7.218,3.6176,4.7812,8.2558,9.7648,5.8077,4.4323
GSM405207,9.6935,4.0079,6.9433,5.3641,6.7393,7.7959,4.3515,4.3768,4.8936,8.3409,10.6658,5.2817,5.5743,8.1732,12.0721,7.1345,10.6456,7.5363,9.1216,7.2139,7.8743,6.4716,4.9352,5.6264,10.855,10.5218,10.4157,7.3063,5.7291,4.5876,6.329,6.2206,10.2116,7.6725,3.6707,4.5932,7.6825,10.0419,5.5248,4.238
GSM405208,8.6078,4.3174,6.7856,5.5155,7.7036,7.7521,4.4526,6.2774,4.656,8.3791,11.3833,5.4857,4.6484,7.1119,11.0535,6.3944,10.5034,8.5296,8.6815,7.9527,6.5847,7.8844,4.981,6.3223,11.332,5.2365,10.5164,7.4518,4.4518,7.6242,8.9403,8.8983,11.7309,7.9536,3.6334,5.4571,9.8374,10.6354,6.1934,4.2665
GSM405210,5.2023,4.2127,7.1797,5.4362,5.7858,8.0602,6.1175,5.6093,4.7723,8.2709,10.0198,5.1356,4.5547,8.24,11.5831,7.186,9.8419,7.9833,9.5681,7.7844,8.1965,7.9085,5.1089,5.207,10.3062,7.3315,10.2644,7.7862,4.8332,4.2016,7.1194,6.6021,11.1768,7.862,5.1902,4.8629,10.2947,9.4555,5.5002,4.1253
GSM405211,6.337,4.926,7.4321,5.5555,6.144,7.6075,6.0381,5.3049,5.1519,7.7133,9.681,5.0299,4.8735,7.033,10.7093,7.3222,10.8328,7.9643,9.161,7.3357,6.0451,6.8857,4.7512,6.0133,8.5497,8.9565,9.1041,8.4719,7.3372,7.4415,8.1212,5.0527,8.1849,6.8444,4.4703,6.6109,9.6247,11.7089,6.7871,4.3173
GSM405212,5.4193,3.8954,7.1338,5.9357,7.2878,7.6482,4.4952,4.5925,4.2693,8.8475,11.3309,4.1962,4.284,7.714,11.1321,6.796,10.5921,7.6602,9.2207,8.0303,7.7553,7.8408,5.0756,8.1396,10.221,9.7508,10.4478,8.1842,6.2467,4.1589,10.3776,6.6251,10.6522,6.6765,3.5809,5.346,9.7238,10.4096,6.3253,4.2428
GSM405213,7.0354,4.3005,6.9594,5.581,6.2588,8.0799,4.3374,4.4611,4.7838,7.9938,9.7781,6.9116,4.9638,6.2925,10.8302,6.9139,10.2792,7.6585,8.9326,7.357,7.6852,7.1853,4.6739,7.4302,6.8799,10.4997,9.2033,10.0247,7.2962,12.9265,9.523,6.1322,7.7592,5.7534,6.5692,8.4496,12.9687,12.704,8.61,5.2261
GSM405214,6.2807,5.1354,7.8717,5.4383,6.4635,7.7496,7.4635,5.1525,7.9008,6.4179,14.1747,5.7703,5.808,6.439,9.0445,6.1089,10.1317,7.1153,8.2487,8.0504,6.931,6.6867,5.1318,5.9028,6.0646,8.6382,6.7826,7.4933,10.1462,11.5792,8.8099,7.0817,6.04,5.9028,7.3042,11.7367,13.0438,13.8263,8.7426,5.3801
GSM405215,9.0634,4.2253,6.6229,5.4844,5.9264,8.3137,9.5229,7.3932,8.1359,8.2762,13.6025,7.4739,5.3625,7.7984,10.893,6.9058,10.3777,8.5722,8.6303,7.3918,8.0427,6.7882,4.9809,5.52,8.9951,9.3136,8.9643,9.1463,9.0875,12.0131,10.9347,6.4256,8.9086,6.3039,7.1271,10.2134,12.3144,12.2732,7.1625,4.638
GSM405216,5.9563,5.0204,6.6307,5.472,6.1778,7.2298,4.4652,4.2826,4.327,7.9365,9.4789,5.2258,5.5458,7.2159,10.5902,6.7467,9.6014,9.632,8.3668,8.4037,7.7119,7.4087,5.0194,6.3739,10.0945,9.0282,9.534,5.9951,5.0858,9.0168,6.3247,5.6898,9.9787,6.7669,3.7159,4.3941,8.1729,10.6721,5.9953,4.1249
GSM405217,6.2804,4.2752,7.3578,5.3775,6.1285,8.1149,5.2149,5.7948,4.631,8.2375,10.122,4.8523,5.6529,7.8158,10.2888,6.247,10.5188,7.3435,7.283,7.3585,7.8651,6.7037,4.7467,7.1382,8.2923,11.7185,9.1318,6.3989,9.2252,4.1354,6.9734,5.9079,8.8209,6.9342,6.5035,8.0081,12.5634,10.803,7.6769,5.4434
GSM405218,9.5513,5.4822,5.9547,5.5113,6.5471,7.8036,8.8503,6.3385,4.2699,10.3713,10.5613,5.3174,5.8698,6.7405,9.782,6.3358,10.9717,8.376,7.9388,8.1887,7.1404,7.211,4.8565,6.9406,6.7829,11.3436,9.2303,8.1166,8.9172,12.5558,9.7116,7.1272,8.2622,5.8179,8.3813,8.5537,12.6914,13.6437,8.4573,5.4001
GSM405219,9.8325,4.2385,6.703,5.5741,6.415,7.9161,4.1976,3.8544,5.0602,7.4605,9.831,4.9632,5.7377,6.6969,10.0073,6.2672,11.3766,8.4493,8.1188,7.7872,7.2538,7.5208,5.069,7.3627,7.5374,10.424,9.202,9.7836,8.8557,14.3093,10.1925,6.3507,10.0521,5.9597,4.4813,9.1998,12.8064,13.0056,8.1309,5.1364
GSM405220,5.8991,5.3381,7.0336,5.5845,6.9379,7.8177,4.7682,5.1649,5.1215,7.8592,10.9169,5.9736,6.4165,7.2052,8.8885,7.0838,9.9693,5.6982,8.7223,8.0167,7.3011,6.5213,4.7244,7.2276,4.3878,4.8919,7.5929,7.0058,9.1009,11.5201,10.493,6.2572,5.3539,5.2633,7.4775,10.3642,13.6934,13.7199,7.8098,7.3423
GSM405221,6.9238,4.4045,6.6495,5.029,6.5635,7.6329,3.9351,4.2284,4.5873,7.838,10.2588,6.1437,7.2741,6.8082,9.1212,7.2578,10.7734,7.8046,7.8443,7.2054,7.6478,6.7763,4.8645,5.2059,6.9567,9.5652,8.9173,8.3091,9.5339,13.7934,12.4943,6.8388,7.2836,5.6069,6.317,10.8635,13.5077,13.2912,8.8054,5.4242
GSM405222,8.4056,4.1079,6.4951,5.1763,5.0823,7.4509,4.2351,4.2322,5.0604,6.995,8.8227,5.1111,5.972,7.4419,11.1078,7.3305,10.151,7.6185,9.0925,7.6657,7.0884,6.6811,4.9732,6.9647,8.1417,7.1461,8.174,8.1169,5.9305,11.1757,8.691,5.5718,7.4937,5.8395,5.319,7.4764,10.803,12.3309,7.2752,4.0945
GSM405223,8.7223,4.3904,6.4291,5.5927,6.5405,8.1369,4.1056,3.8451,4.8681,11.3781,10.4938,5.9637,4.8952,7.1293,10.7359,7.1975,10.8828,8.1195,9.2167,7.559,7.8589,7.1437,4.8437,5.2751,9.1733,10.2458,9.3654,9.5666,8.0849,13.6923,10.0594,6.4596,8.2465,5.9088,6.3965,6.8541,11.3914,12.5688,7.8984,4.557
GSM405224,6.9825,4.0754,6.4914,5.3745,4.9025,7.6565,4.3206,4.2341,4.4837,7.6562,9.7251,5.2832,5.3495,6.997,10.7909,7.8743,10.7372,7.9754,8.92,7.9309,7.2886,6.4364,6.7147,6.273,8.1229,10.3642,9.4363,8.3886,8.802,12.3909,10.0629,5.7192,7.7735,6.0588,3.8728,8.0114,11.511,12.7219,7.7603,5.1437
GSM405225,7.7779,3.8695,6.4227,5.2582,6.9903,8.1246,5.9511,5.7389,4.2637,7.7655,10.3637,5.0511,4.2819,8.724,10.3719,7.2057,9.5746,8.5104,6.6849,7.8102,7.5923,6.7408,4.7966,7.7379,10.0585,11.1428,10.2427,8.0544,8.7263,4.6997,6.7606,4.8228,10.5729,7.2002,3.3799,5.6469,7.9411,12.0251,7.123,4.464
GSM405226,10.1979,4.2727,7.0088,6.1595,7.0627,8.1195,4.3439,4.4738,4.8831,8.1875,10.2183,6.7288,5.041,7.4422,10.0455,6.9334,10.9165,8.3924,8.8569,7.8554,8.2587,7.9162,4.7607,6.4638,9.1231,11.1635,9.8386,10.0429,9.3612,13.0951,12.1995,6.7513,10.8754,6.7647,5.9849,10.2734,12.6992,12.868,9.0191,4.4625
GSM405227,7.1101,4.7574,7.1444,6.0133,5.7343,7.7245,4.8069,5.7386,4.6214,8.3619,9.8292,5.1166,4.334,8.3276,11.8233,7.125,10.6203,7.0594,9.6333,7.4698,6.7179,7.5414,4.8353,6.3808,10.7912,9.6923,9.7667,8.3436,4.6627,4.1048,7.4436,6.1735,9.985,6.8071,4.1424,4.9995,9.2797,10.7455,5.8749,4.2224
GSM405228,9.4226,4.4921,6.9976,5.6726,6.9125,7.7201,7.861,7.2114,4.0724,7.0963,10.2983,5.3422,5.94,5.9722,11.9264,6.5536,10.8091,8.1767,8.9782,8.0946,7.896,7.2236,4.6374,7.1448,10.055,10.3839,9.5382,9.0467,8.464,13.9171,9.9385,6.8132,8.8481,5.8037,5.7784,7.1023,12.8078,12.6778,9.7087,5.1822
GSM405229,8.9822,4.1022,6.1796,5.8957,7.8447,8.2044,8.45,5.7009,9.2888,8.3244,14.5482,5.6695,6.4371,6.8402,10.0526,6.7581,10.5948,8.4233,9.0818,8.1654,8.2839,7.0588,4.8097,6.4004,9.2192,9.9075,10.1634,9.8017,7.0702,10.0328,11.1234,6.1303,9.8477,6.1621,5.6043,8.2872,12.2164,12.2421,7.8557,5.7461
GSM405230,8.0186,4.5288,6.1888,5.7675,6.795,8.3155,4.8424,3.6957,5.0816,8.2686,10.7434,7.5713,5.4483,5.3949,10.0739,6.8189,10.7633,8.3059,8.6721,8.2144,8.1188,7.3785,4.7358,5.1166,8.9726,11.1318,11.1706,9.7753,9.5704,13.1637,12.4014,7.3975,8.6588,6.7723,3.8589,9.9341,13.0994,13.6501,8.2619,5.3545
GSM405231,8.5042,4.3451,6.4093,5.5549,7.0151,8.4276,4.0649,4.0846,5.4689,8.0135,10.5133,6.1156,5.4501,6.2878,10.5401,7.2206,11.8572,8.2712,8.601,7.6037,7.6181,7.3186,4.884,5.1216,8.7202,9.5051,9.5695,9.8818,7.9819,13.7371,9.6312,7.4887,8.7682,6.2105,5.1116,6.7389,12.6969,12.6307,7.6045,5.3983
GSM405232,4.982,4.1577,7.2704,5.6334,6.8608,7.887,7.5193,5.5753,4.6258,8.0148,10.9603,4.683,4.82,6.9922,8.3184,7.0489,9.2455,8.4642,7.6455,7.9543,8.5649,6.565,4.9451,6.1411,4.3807,7.2684,8.2764,6.8558,7.228,4.173,7.2747,9.5657,6.0966,5.8101,5.8909,6.609,12.3484,11.8856,6.2548,4.2972
GSM405233,5.2517,4.3118,7.3289,5.577,4.9052,8.2858,4.5311,4.8406,4.7019,7.271,9.4481,5.2898,5.4464,6.3465,9.8268,6.8007,11.0459,7.3684,8.7305,7.6562,6.9691,6.8453,4.8228,6.8879,6.9636,9.0099,8.066,9.6939,7.8586,13.819,10.2467,5.863,7.0255,5.6028,7.3725,9.152,13.1117,13.0523,8.0064,5.1863
GSM405234,5.4331,4.8638,7.1775,5.0134,6.6984,7.5999,8.7019,5.4709,9.088,7.4291,13.2841,5.0776,5.4386,6.878,8.7866,6.1771,10.4946,8.0906,7.526,7.503,8.3934,7.2661,4.995,4.9466,8.4714,10.3348,7.1786,7.4732,5.8251,10.1423,9.1286,6.8236,8.2929,6.866,4.0406,6.9303,10.9186,11.3548,7.119,4.3163
GSM405235,6.3416,4.3324,6.9402,4.8766,6.8143,8.1911,4.257,4.5731,5.668,6.5337,10.1156,5.9199,7.4006,6.5791,9.2587,6.8581,11.1206,7.9819,7.8769,7.8363,7.5261,6.8675,4.8837,7.2578,5.9254,9.448,8.3454,8.7283,9.2423,14.3605,9.2579,6.1025,5.9338,5.2887,6.9766,11.4043,13.8253,12.9671,9.1039,5.5991
GSM405236,6.0994,4.6738,6.3524,5.4099,6.6185,8.1265,4.2135,4.259,4.5136,7.2482,10.6117,5.2321,9.0661,6.8785,9.9304,6.7054,11.0571,8.7638,7.9653,7.9625,7.7432,6.8417,5.0114,6.2271,7.9417,11.0569,9.0968,7.9732,9.4947,14.0766,11.026,6.4952,8.2458,5.8558,8.2353,9.9303,13.2961,13.4963,8.444,5.1493
GSM405237,6.2318,4.5848,6.7616,5.4351,6.1491,8.1091,4.2914,4.1345,5.1677,7.604,10.2744,6.7101,6.3052,6.5679,9.0278,6.9589,10.7451,7.9108,8.9456,7.6922,7.3296,6.8942,5.083,5.9912,6.8645,9.5188,9.0183,9.7984,9.1918,14.4816,10.7013,5.7097,6.8615,5.7997,7.4225,10.2317,13.7588,13.3095,9.1032,5.0591
GSM405238,6.5852,5.0006,6.6522,5.3236,6.835,7.5064,7.7549,6.3814,4.3301,7.7215,10.5931,5.9685,6.0874,6.3043,9.4448,6.6858,10.976,7.4798,8.2135,8.1165,7.6687,7.1103,5.0022,7.5492,8.9151,9.4482,9.2164,8.8592,7.9493,12.6452,7.7551,6.0737,8.345,7.2448,5.4812,6.1391,13.0032,12.4772,7.344,4.5532
GSM405239,5.6665,4.8821,7.1283,5.0826,7.8549,8.0297,10.5175,6.6112,4.4908,6.1335,10.8793,5.6228,6.8545,6.0811,8.9323,6.3029,10.9434,8.5849,7.3961,7.5899,7.2681,6.5379,4.8708,6.2244,4.9889,9.6012,7.7409,8.2726,9.336,12.9896,9.1335,7.0251,6.6341,5.4421,7.9741,11.0445,13.7714,14.1772,7.9878,6.5917
GSM405240,5.0626,4.8432,7.2623,5.5561,6.0273,7.5298,4.2556,4.3163,4.8403,8.0887,10.0856,7.7564,8.5709,6.9897,8.9868,6.7043,10.8585,8.3178,7.6561,8.1774,7.8295,7.8055,4.9424,7.3403,8.023,11.5874,9.4932,8.2833,8.433,10.4294,10.8428,6.2327,8.2214,6.1617,4.6887,9.6591,13.2868,12.4162,7.8718,4.8336
GSM405241,7.3074,4.0252,6.6153,5.4781,6.6701,8.0841,5.5278,5.0176,4.271,7.2696,10.7503,5.6848,6.476,6.2881,10.5271,6.7464,10.8001,8.9833,8.6008,7.1438,7.8433,6.6227,4.7665,7.0964,8.483,10.4571,8.9996,8.8531,9.5364,13.0067,10.5204,6.2544,8.1011,5.8697,6.3879,9.0427,13.4754,13.251,8.991,6.4557
GSM405242,5.0055,5.5157,6.8498,5.5367,6.5268,8.1391,4.2209,4.2383,4.5871,8.0961,10.8852,6.1785,6.3579,7.9227,10.1178,6.2256,10.527,7.5803,7.4407,7.638,8.3871,7.2084,4.7078,5.9455,9.933,11.032,9.5698,7.6995,6.752,9.9516,8.4362,6.787,8.6546,6.5406,5.6494,7.2129,10.9077,11.7247,7.2091,4.6967
GSM405243,5.4331,5.8703,6.7332,5.31,4.7624,8.1039,4.4552,3.791,4.6483,7.7092,9.9612,4.8456,6.4835,6.5047,9.6194,6.5813,10.4067,8.6349,8.6167,7.7573,7.8105,7.1728,4.8134,6.5737,9.1685,10.0407,8.5783,8.403,7.0834,11.6859,7.6664,6.6872,9.0304,6.2271,5.5878,7.1067,11.5599,12.0785,8.0433,5.0594
GSM405244,7.0554,4.4604,6.5601,5.5506,6.3871,7.2688,5.7584,5.8526,4.0958,7.8266,9.8699,4.9845,5.1918,7.0707,10.8391,7.1179,10.0254,8.8776,7.5126,8.4676,7.8314,7.642,5.0384,6.4164,10.0295,9.1874,9.8594,8.7063,6.528,9.507,6.1668,4.9795,10.9256,8.5669,3.7949,4.9797,9.2824,10.5987,6.2321,4.4516
GSM405245,5.5177,4.6592,6.8575,5.3603,6.4918,8.1121,5.1219,4.7091,4.2268,7.5243,10.1877,5.0041,5.5722,7.533,9.3008,6.2947,10.8668,7.8169,6.4755,7.6892,7.9961,6.8629,5.2052,5.7247,8.187,12.5272,7.8685,7.6089,9.2821,9.6765,7.9734,5.5513,7.7826,5.9942,5.9301,7.424,11.073,12.5048,8.6298,4.8045
GSM405246,7.751,4.1207,6.6956,5.6402,6.0579,7.6774,6.9323,5.7328,4.7429,8.4112,10.7144,4.9667,4.3797,8.0922,12.2074,6.8593,10.8074,7.9209,9.214,7.2448,8.255,7.516,5.1601,4.9866,10.7882,5.6887,9.8126,7.6435,4.2567,4.152,6.5701,7.1802,10.4098,6.6453,3.2843,4.4519,7.941,8.684,5.5725,4.0658
GSM405247,8.3325,4.1499,6.4097,5.1367,7.6845,7.7377,9.6155,5.7913,8.6328,7.5765,14.3081,6.4366,4.4103,7.0157,10.1899,6.5537,11.4576,8.509,8.5007,7.792,8.4639,7.1875,4.9773,6.7562,8.9063,10.5308,9.7541,8.7465,7.0218,10.6797,7.9485,7.0335,9.4329,6.9974,7.3386,6.4322,10.8603,10.7259,7.8591,5.1918
GSM405248,12.2271,4.0215,6.6855,5.3078,8.1475,8.7442,4.2321,3.8574,4.9101,8.2543,10.9648,5.3617,4.8252,6.4588,11.0402,7.3,11.0155,9.0658,8.7651,7.6502,8.2099,7.1365,4.857,6.956,9.3863,11.5103,10.317,9.7301,9.624,14.1177,9.0142,5.4938,10.5712,5.6703,5.3206,6.5753,12.2095,11.933,7.8285,6.9899
GSM405249,5.2291,4.8358,6.7398,5.1873,5.9733,7.6314,6.7423,5.6041,4.5163,6.8245,10.8041,4.9462,4.669,6.9035,8.7721,6.3654,10.6304,8.4659,6.1454,7.6946,8.1261,7.0976,4.7639,6.9883,8.7816,9.8834,7.8858,7.3877,5.5225,5.1182,6.8807,5.7674,8.8041,6.8099,3.6704,5.3031,9.7731,11.1216,6.2918,4.1551
GSM405250,7.0251,4.6361,6.4057,5.4635,6.103,7.9027,5.0663,4.4777,4.1913,7.7859,10.1037,5.0189,5.2386,6.8128,10.5757,7.0205,10.7912,8.933,7.2089,8.0985,7.9644,7.3532,5.0043,5.9597,9.7827,9.6507,10.1013,6.37,5.6585,6.6473,6.2593,5.3453,10.232,7.0618,3.6979,4.5055,7.3012,10.3597,5.169,4.2262
GSM405251,6.2823,4.1905,6.7915,5.3261,6.537,7.864,4.948,5.235,4.5027,7.8745,10.617,4.9363,4.476,7.4488,9.8672,6.4957,11.1288,8.5477,6.4102,7.8395,8.7178,7.4677,4.9678,6.1637,9.0189,10.0374,7.6037,7.585,5.4816,7.5828,7.1623,6.4307,9.5257,6.4722,3.6202,4.726,8.5582,9.8368,5.6212,4.2554
GSM405252,7.8512,4.224,5.8782,5.3236,4.9161,7.9021,4.2659,3.9508,4.244,7.2819,10.1528,5.3384,6.4152,6.4348,10.2448,6.8107,10.8868,8.0665,8.0181,7.3656,7.7288,6.7806,4.8675,5.4971,7.9609,10.2112,8.9258,7.9524,9.4224,13.5926,11.6709,6.4125,8.7382,6.329,5.6298,10.4134,12.7931,12.7038,8.6134,4.9477
GSM405253,5.1121,4.6978,7.6341,5.2515,6.3813,7.822,4.2401,4.3502,4.5393,7.3842,10.67,6.9349,6.0449,6.313,9.4799,5.9082,11.7721,8.223,9.2028,7.8975,8.2171,7.4298,5.0615,7.2783,9.3417,8.0325,9.2233,10.272,8.3671,10.3725,8.6068,8.355,7.8044,6.8483,6.3948,9.8497,12.3122,13.2633,7.9749,4.7705
GSM405254,12.439,4.451,6.6463,5.2912,6.5621,7.6445,4.318,4.1265,4.9306,7.2714,10.4091,6.401,5.0959,6.4008,10.2111,6.9056,11.4595,8.3799,8.2182,7.7136,6.8932,7.3084,5.0303,7.0893,9.7058,12.2045,9.1458,9.6114,8.6402,13.6023,9.7142,7.1955,10.1167,6.5212,7.541,8.6934,12.0864,13.3176,7.3203,4.7255
GSM405255,7.0432,4.0384,6.8895,5.2629,5.8163,7.7569,4.487,4.5727,4.8867,7.2111,9.8391,4.8496,5.2433,7.272,7.8729,7.107,11.0432,8.9547,7.0616,7.2567,7.822,6.6329,5.026,5.4338,7.3763,9.3483,6.5419,7.9536,7.0411,11.9037,8.9071,6.2159,6.924,5.6602,5.0654,7.4699,11.8732,12.4154,8.3359,4.7566
GSM405256,6.2364,4.1031,6.421,5.4885,4.8316,7.5548,4.4017,4.3981,4.1715,7.5118,8.8738,4.7726,6.344,7.1138,10.562,7.6027,9.5396,8.9656,8.3664,7.9527,7.7259,6.756,4.9869,6.7881,8.7363,8.6328,8.9376,6.9323,5.2066,6.5857,6.2247,5.0772,9.6225,6.7666,3.6044,4.8779,7.1348,10.376,5.6971,4.4479
GSM405257,7.04,4.6029,7.283,5.7845,7.4449,8.0482,4.6959,4.1246,4.3715,8.0433,10.7729,4.6172,4.5762,7.8419,11.3681,7.0597,10.4172,8.0957,9.6872,7.6109,6.7511,7.3601,5.2372,4.801,10.5126,9.3317,10.5465,8.2844,5.0615,4.6646,9.7182,7.13,9.2722,7.0517,3.5709,5.4061,9.347,9.9022,5.5486,4.2579
GSM405258,6.9014,4.753,6.9779,5.4052,5.1152,7.7601,5.3659,5.9136,4.4225,8.0431,9.7874,4.8718,4.4628,7.7791,10.7806,6.644,10.3197,8.8913,6.5037,8.0596,7.7442,7.223,5.0815,5.725,9.3338,11.8591,9.6854,7.0064,6.35,5.3181,6.4427,5.1218,10.1202,7.5173,3.489,5.3966,7.2326,9.8757,5.7925,4.213
