Sample,EGFR,PDGFRA,PTEN,NF1,TP53,RB1,CDKN2A,CDKN2B,MDM2,MDM4,CDK4,CDK6,MET,PIK3CA,PIK3R1,PIK3CB,IDH1,IDH2,ATRX,CIC,FUBP1,NOTCH1,TERT,MGMT,OLIG2,GFAP,SOX2,NES,CD44,CHI3L1,VEGFA,MKI67,BCAN,DLL3,POSTN,SERPINE1,TIMP1,LGALS1,ANXA1,CASP8
900_00_53_32,11.0968,6.3721,7.2912,7.7408,8.8786,8.8376,6.7248,5.3676,6.6568,8.6687,11.0082,8.4317,6.8658,7.8603,10.4194,7.2766,9.4442,9.7848,8.3373,9.7851,8.8881,9.3249,6.8966,5.8795,9.9313,10.9383,11.2687,10.2186,9.0055,13.302,12.7733,8.124,8.062,7.0538,7.7363,9.0427,12.6669,13.2517,8.3894,7.3779
900_00_5308,11.0239,6.1724,7.0597,7.6274,8.8628,8.7439,6.6727,5.366,6.6332,8.3656,10.5066,7.0295,6.9564,7.657,9.9226,7.6453,9.0793,9.6945,8.0631,9.7659,8.4548,9.1403,6.7533,5.6402,9.2669,11.8795,10.402,9.6564,8.0403,12.2911,9.2317,7.9273,8.228,7.1342,8.8568,7.7243,12.6961,12.6116,8.1153,6.9631
900_00_5317,8.2979,6.0162,7.3753,7.1969,6.4471,7.5839,7.1217,5.9413,6.445,7.6075,8.9559,6.144,7.8371,7.6892,10.438,8.0198,7.724,9.6011,8.2203,9.9081,8.2439,7.75,6.6616,7.2144,8.668,7.645,8.825,7.4807,6.6087,8.7417,8.2346,6.6858,7.6018,7.0184,4.9746,7.2766,9.6793,11.2381,6.2748,6.239
900_00_5338,9.427,6.1967,7.171,7.3804,9.3509,8.5403,7.0238,5.8097,7.4916,8.3556,10.9623,6.4554,7.5355,7.4561,9.6126,7.4253,8.9499,9.7625,7.6151,9.717,7.8086,8.0083,6.6959,7.0941,8.9392,11.5134,10.3409,9.2043,11.2561,13.7495,12.634,7.37,7.4134,6.9971,7.4325,11.4077,13.6194,13.1902,8.7606,6.8911
900_00_5341,9.7746,6.3171,6.9017,7.4086,8.5459,8.3206,6.9566,6.7118,6.5549,8.3835,10.8039,6.4019,7.015,7.5538,10.9385,7.551,8.5802,9.9306,7.9212,9.3964,8.3091,9.218,6.746,5.8442,10.5203,11.8738,10.6442,9.4849,8.0733,6.2888,7.9515,7.1024,8.6784,8.893,5.0452,6.6064,7.7301,11.9114,6.0587,6.6961
900_00_5342,8.7937,6.0819,7.5926,7.1407,8.4847,8.5831,9.4946,6.9719,6.5998,8.0316,11.0562,6.245,8.0544,6.4284,9.7466,7.3469,8.912,9.9434,7.9302,9.5542,8.3362,8.3972,6.7704,7.0228,6.1957,10.8812,10.2706,8.4828,10.8177,14.0746,12.2471,7.6438,7.153,6.9373,6.6939,11.5612,14.0215,13.6187,9.207,7.0539
900_00_5345,8.9559,6.3877,7.397,7.405,8.98,8.2298,7.0059,7.1208,6.8075,8.2356,10.7975,6.6363,6.7288,7.2092,9.5358,7.2411,9.1214,10.1438,8.0242,9.2297,7.1377,9.5606,6.7952,6.2309,11.2864,10.6839,10.5188,9.0268,7.8043,6.5582,8.3944,6.9037,8.3667,9.6468,5.0203,6.6136,8.8288,10.9123,6.3606,6.5218
900_00_5346,8.4381,6.2994,7.4016,7.5115,9.2897,8.4266,6.9541,6.124,6.6338,8.123,10.8492,6.8298,7.2244,6.7157,8.827,7.1609,8.9973,9.6047,7.7897,9.6713,8.2988,8.8662,6.9128,7.1764,8.2128,11.6907,10.3985,9.5681,10.0441,13.9945,11.8621,8.0121,7.1545,7.2592,5.7932,12.0726,13.7651,13.1332,9.1089,7.1368
900_00_5379,9.6326,6.2885,7.6778,7.4205,9.5305,8.6427,6.8802,5.8087,6.769,8.4428,11.4151,7.0609,7.3101,7.1461,10.1565,7.3375,9.5712,10.224,7.6753,9.9874,7.7077,9.0461,6.7483,6.2868,9.7964,12.5934,11.0819,9.7927,10.2722,13.8077,11.8279,8.2726,8.6357,8.9463,5.9682,8.8772,13.2155,13.5436,8.8531,7.048
900_00_5380,9.5134,6.4733,7.1075,7.4729,8.8838,7.5876,6.9882,6.0384,6.7328,8.2318,10.9785,6.6604,6.8236,7.1322,10.1651,7.4002,9.0216,10.4297,7.7722,9.4566,7.8804,9.6189,6.9009,6.4321,11.0096,11.3801,10.5508,9.3287,7.6358,10.0622,8.3086,7.7931,9.1585,8.8188,4.7971,6.8036,9.5477,11.2694,5.7104,6.3954
