setting,model,n,event_rate,auroc,auroc_lo,auroc_hi,auprc,brier,brier_lo,brier_hi,calib_intercept,calib_slope
internal_tcga_B_clinical_molecular_os_2y_grade-high,base_rate,258,0.535,0.487,0.422,0.554,0.533,0.249,0.244,0.253,0.0,-11.796
internal_tcga_B_clinical_molecular_os_2y_grade-high,logistic_age_grade,258,0.535,0.858,0.807,0.902,0.856,0.147,0.122,0.174,0.002,0.998
internal_tcga_B_clinical_molecular_os_2y_grade-high,penalised_logistic,258,0.535,0.879,0.834,0.923,0.873,0.125,0.097,0.155,-0.008,0.96
internal_tcga_B_clinical_molecular_os_2y_grade-high,random_forest,258,0.535,0.867,0.819,0.915,0.84,0.13,0.103,0.157,-0.005,1.051
internal_tcga_B_clinical_molecular_os_2y_grade-high,hist_gboost,258,0.535,0.866,0.82,0.911,0.867,0.137,0.106,0.168,-0.064,0.725
internal_tcga_B_clinical_molecular_os_2y_grade-high,tf_compact,258,0.535,0.87,0.821,0.917,0.854,0.125,0.097,0.154,0.085,1.006
internal_tcga_B_clinical_molecular_os_2y_grade-high,tf_medium,258,0.535,0.865,0.817,0.911,0.832,0.15,0.13,0.17,0.057,1.677
internal_tcga_B_clinical_molecular_os_2y_grade-high,tf_regularised,258,0.535,0.874,0.826,0.921,0.854,0.122,0.095,0.149,0.16,1.04
internal_tcga_B_clinical_molecular_os_2y,base_rate,406,0.384,0.486,0.432,0.539,0.378,0.237,0.226,0.247,0.0,-21.275
internal_tcga_B_clinical_molecular_os_2y,logistic_age_grade,406,0.384,0.896,0.862,0.927,0.831,0.123,0.104,0.145,0.001,1.01
internal_tcga_B_clinical_molecular_os_2y,penalised_logistic,406,0.384,0.916,0.886,0.942,0.856,0.106,0.084,0.128,0.001,0.977
internal_tcga_B_clinical_molecular_os_2y,random_forest,406,0.384,0.907,0.874,0.936,0.833,0.11,0.089,0.131,-0.005,1.047
internal_tcga_B_clinical_molecular_os_2y,hist_gboost,406,0.384,0.907,0.874,0.936,0.854,0.11,0.088,0.133,-0.015,0.804
internal_tcga_B_clinical_molecular_os_2y,tf_compact,406,0.384,0.911,0.88,0.94,0.844,0.108,0.087,0.131,-0.345,1.051
internal_tcga_B_clinical_molecular_os_2y,tf_medium,406,0.384,0.905,0.873,0.935,0.837,0.118,0.099,0.138,-0.317,1.237
internal_tcga_B_clinical_molecular_os_2y,tf_regularised,406,0.384,0.913,0.882,0.941,0.839,0.108,0.087,0.129,-0.33,1.109
internal_tcga_B_clinical_molecular_os_2y_grade-lower,base_rate,118,0.059,0.33,0.137,0.536,0.047,0.056,0.019,0.094,0.001,-10.89
internal_tcga_B_clinical_molecular_os_2y_grade-lower,logistic_age_grade,118,0.059,0.758,0.504,0.972,0.349,0.05,0.019,0.085,0.01,1.024
internal_tcga_B_clinical_molecular_os_2y_grade-lower,penalised_logistic,118,0.059,0.82,0.656,0.957,0.366,0.048,0.017,0.083,0.01,0.951
internal_tcga_B_clinical_molecular_os_2y_grade-lower,random_forest,118,0.059,0.852,0.708,0.967,0.297,0.049,0.02,0.083,0.073,1.396
internal_tcga_B_clinical_molecular_os_2y_grade-lower,hist_gboost,118,0.059,0.773,0.504,0.965,0.293,0.053,0.023,0.087,-0.147,0.563
internal_tcga_B_clinical_molecular_os_2y_grade-lower,tf_compact,118,0.059,0.761,0.469,0.96,0.329,0.116,0.093,0.139,-2.027,0.972
internal_tcga_B_clinical_molecular_os_2y_grade-lower,tf_medium,118,0.059,0.647,0.369,0.875,0.135,0.136,0.119,0.154,-2.133,1.097
internal_tcga_B_clinical_molecular_os_2y_grade-lower,tf_regularised,118,0.059,0.813,0.539,0.974,0.411,0.086,0.056,0.119,-1.902,0.844
internal_tcga_B_idhwt_os_2y,base_rate,173,0.786,0.477,0.369,0.586,0.769,0.168,0.135,0.204,-0.0,-11.097
internal_tcga_B_idhwt_os_2y,logistic_age_grade,173,0.786,0.663,0.547,0.765,0.871,0.151,0.118,0.188,0.01,0.881
internal_tcga_B_idhwt_os_2y,penalised_logistic,173,0.786,0.653,0.537,0.752,0.869,0.157,0.123,0.195,-0.004,0.725
internal_tcga_B_idhwt_os_2y,random_forest,173,0.786,0.674,0.566,0.769,0.887,0.154,0.122,0.189,-0.009,1.054
internal_tcga_B_idhwt_os_2y,hist_gboost,173,0.786,0.672,0.565,0.767,0.879,0.158,0.124,0.197,-0.012,0.571
