setting,model,n,event_rate,auroc,auroc_lo,auroc_hi,auprc,brier,brier_lo,brier_hi,calib_intercept,calib_slope
modern_external_rembrandt_B_2y,penalised_logistic,341,0.592,0.68,0.621,0.737,0.707,0.264,0.236,0.293,0.876,0.421
modern_external_rembrandt_B_2y,tf_regularised,341,0.592,0.68,0.62,0.736,0.707,0.227,0.198,0.255,0.096,0.466
modern_external_rembrandt_B_2y,ft_transformer,341,0.592,0.617,0.556,0.675,0.67,0.266,0.24,0.294,0.66,0.374
modern_external_gravendeel_B_2y,penalised_logistic,260,0.642,0.822,0.765,0.872,0.886,0.196,0.165,0.228,1.096,0.824
modern_external_gravendeel_B_2y,tf_regularised,260,0.642,0.826,0.769,0.876,0.885,0.168,0.136,0.2,0.374,0.667
modern_external_gravendeel_B_2y,ft_transformer,260,0.642,0.812,0.758,0.864,0.887,0.179,0.149,0.209,0.616,0.756
external_tcga_to_rembrandt_C_expression_os_2y,base_rate,341,0.592,0.5,0.5,0.5,0.592,0.285,0.273,0.297,0.845,
external_tcga_to_rembrandt_C_expression_os_2y,logistic_age_grade,341,0.592,0.639,0.578,0.694,0.672,0.289,0.263,0.317,1.165,0.445
external_tcga_to_rembrandt_C_expression_os_2y,penalised_logistic,341,0.592,0.738,0.684,0.789,0.764,0.303,0.266,0.34,2.234,0.369
external_tcga_to_rembrandt_C_expression_os_2y,random_forest,341,0.592,0.781,0.73,0.828,0.808,0.223,0.196,0.25,1.145,0.781
external_tcga_to_rembrandt_C_expression_os_2y,hist_gboost,341,0.592,0.768,0.716,0.816,0.803,0.276,0.238,0.313,2.642,0.315
external_tcga_to_rembrandt_C_expression_os_2y,tf_compact,341,0.592,0.772,0.721,0.82,0.811,0.227,0.195,0.26,1.403,0.397
external_tcga_to_rembrandt_C_expression_os_2y,tf_medium,341,0.592,0.755,0.702,0.805,0.794,0.263,0.224,0.302,2.076,0.225
