no,setting,best_nn,best_transparent,auroc_nn,auroc_transparent,delta_auroc_ci,auroc_margin_met,brier_not_worse,calibration_ok,criterion_met
1,"TCGA internal — clinical (A), 2-year",Regularised MLP,Penalised LR,0.896,0.898,"-0.003 (-0.009, 0.003)",False,False,True,False
2,"TCGA internal — clinical+molecular (B), 2-year (primary)",Regularised MLP,Penalised LR,0.913,0.916,"-0.003 (-0.009, 0.004)",False,False,True,False
3,"TCGA internal — expression panel (C), 2-year",Compact MLP,Penalised LR,0.907,0.912,"-0.005 (-0.025, 0.013)",False,True,True,False
4,"TCGA internal — set B, 1-year",Compact MLP,Penalised LR,0.884,0.886,"-0.002 (-0.01, 0.007)",False,False,True,False
5,"TCGA internal — set B, 5-year",Regularised MLP,Penalised LR,0.91,0.91,"0.001 (-0.011, 0.009)",False,False,True,False
6,"TCGA internal — set B, grade III–IV, 2-year",Regularised MLP,Penalised LR,0.874,0.879,"-0.005 (-0.016, 0.006)",False,True,True,False
7,"TCGA internal — set B, grade I–II, 2-year",Regularised MLP,Penalised LR,0.813,0.82,"0.0 (-0.135, 0.088)",False,False,True,False
8,"TCGA internal — set B, complete-case, 2-year",Regularised MLP,Penalised LR,0.927,0.932,"-0.005 (-0.012, 0.002)",False,False,True,False
9,"TCGA internal — IDH-wildtype, 2-year",Compact MLP,Age + grade LR,0.681,0.663,"0.017 (-0.045, 0.077)",False,False,True,False
10,"TCGA internal — IDH-wildtype, 1-year",Regularised MLP,Age + grade LR,0.689,0.671,"0.016 (-0.023, 0.06)",False,False,True,False
11,"TCGA internal — IDH-mutant, 5-year",Compact MLP,Penalised LR,0.647,0.692,"-0.046 (-0.113, 0.02)",False,False,True,False
12,"TCGA internal — glioblastoma, 1-year",Medium MLP,Age + grade LR,0.607,0.629,"-0.021 (-0.125, 0.081)",False,False,False,False
13,"TCGA internal — 6-month landmark, 2-year",Regularised MLP,Penalised LR,0.9,0.907,"-0.007 (-0.018, 0.003)",False,False,True,False
14,"TCGA → Gravendeel — clinical (A), 2-year",Regularised MLP,Penalised LR,0.823,0.828,"-0.005 (-0.014, 0.002)",False,True,False,False
15,"TCGA → Gravendeel — clinical+molecular (B), 2-year",Compact MLP,Penalised LR,0.83,0.822,"0.008 (-0.011, 0.026)",False,True,False,False
16,"TCGA → Gravendeel — expression panel (C), 2-year",Compact MLP,Age + grade LR,0.815,0.812,"0.004 (-0.054, 0.063)",False,False,False,False
17,"TCGA → REMBRANDT — grade + histology, 2-year",Medium MLP,Penalised LR,0.72,0.68,"0.041 (0.006, 0.076)",True,True,False,False
18,"TCGA → REMBRANDT — expression panel (C), 2-year",Compact MLP,Penalised LR,0.772,0.738,"0.034 (0.002, 0.065)",True,True,False,False
