setting,best_tf_variant,best_transparent,auroc_nn,auroc_transparent,delta_auroc,delta_lo,delta_hi,paired_p,brier_nn,brier_transparent,calib_slope_nn,passes_auroc_margin,not_worse_brier,calibration_acceptable,clinically_meaningful
modern_external_rembrandt_B_2y,tf_regularised,penalised_logistic,0.68,0.68,0.001,-0.015,0.016,0.935,0.227,0.264,0.466,False,True,False,False
internal_tcga_B_clinical_molecular_os_2y_grade-high,tf_regularised,penalised_logistic,0.874,0.879,-0.005,-0.016,0.006,0.343,0.122,0.125,1.04,False,True,True,False
internal_tcga_B_clinical_molecular_os_2y,tf_regularised,penalised_logistic,0.913,0.916,-0.003,-0.009,0.004,0.439,0.108,0.106,1.109,False,False,True,False
internal_tcga_B_clinical_molecular_os_2y_grade-lower,tf_regularised,penalised_logistic,0.813,0.82,0.0,-0.135,0.088,1.0,0.086,0.048,0.844,False,False,True,False
internal_tcga_B_idhwt_os_2y,tf_compact,logistic_age_grade,0.681,0.663,0.017,-0.045,0.077,0.591,0.207,0.151,1.134,False,False,True,False
modern_external_gravendeel_B_2y,tf_regularised,penalised_logistic,0.826,0.822,0.003,-0.012,0.019,0.692,0.168,0.196,0.667,False,True,False,False
internal_tcga_B_gbm_os_1y,tf_medium,logistic_age_grade,0.607,0.629,-0.021,-0.125,0.081,0.69,0.241,0.234,1.746,False,False,False,False
external_tcga_to_rembrandt_C_expression_os_2y,tf_compact,penalised_logistic,0.772,0.738,0.034,0.002,0.065,0.033,0.227,0.303,0.397,True,True,False,False
external_tcga_to_gravendeel_A_clinical_os_2y,tf_regularised,penalised_logistic,0.823,0.828,-0.005,-0.014,0.002,0.163,0.172,0.176,0.615,False,True,False,False
internal_tcga_B_clinical_molecular_os_5y,tf_regularised,penalised_logistic,0.91,0.91,0.001,-0.011,0.009,0.918,0.117,0.103,1.045,False,False,True,False
modern_internal_tcga_B_2y,tf_regularised,penalised_logistic,0.913,0.917,-0.004,-0.012,0.005,0.363,0.107,0.105,1.055,False,False,True,False
external_tcga_to_gravendeel_B_clinical_molecular_os_2y,tf_compact,penalised_logistic,0.83,0.822,0.008,-0.011,0.026,0.398,0.167,0.196,0.684,False,True,False,False
internal_tcga_B_clinical_molecular_os_2y_completecase,tf_regularised,penalised_logistic,0.927,0.932,-0.005,-0.012,0.002,0.192,0.094,0.09,1.092,False,False,True,False
internal_tcga_B_idhmut_os_5y,tf_compact,penalised_logistic,0.647,0.692,-0.046,-0.113,0.02,0.179,0.23,0.22,0.947,False,False,True,False
external_tcga_to_rembrandt_A_clinical_os_2y,tf_medium,penalised_logistic,0.72,0.68,0.041,0.006,0.076,0.016,0.222,0.264,0.425,True,True,False,False
internal_tcga_B_landmark6m_os_2y,tf_regularised,penalised_logistic,0.9,0.907,-0.007,-0.018,0.003,0.171,0.111,0.105,1.076,False,False,True,False
internal_tcga_B_idhwt_os_1y,tf_regularised,logistic_age_grade,0.689,0.671,0.016,-0.023,0.06,0.413,0.224,0.217,0.808,False,False,True,False
internal_tcga_B_clinical_molecular_os_1y,tf_compact,penalised_logistic,0.884,0.886,-0.002,-0.01,0.007,0.721,0.133,0.092,1.036,False,False,True,False
external_tcga_to_rembrandt_B_clinical_molecular_os_2y,tf_medium,penalised_logistic,0.72,0.68,0.041,0.006,0.076,0.016,0.222,0.264,0.425,True,True,False,False
internal_tcga_A_clinical_os_2y,tf_regularised,penalised_logistic,0.896,0.898,-0.003,-0.009,0.003,0.309,0.122,0.121,1.141,False,False,True,False
external_tcga_to_gravendeel_C_expression_os_2y,tf_compact,logistic_age_grade,0.815,0.812,0.004,-0.054,0.063,0.893,0.208,0.181,0.51,False,False,False,False
internal_tcga_C_expression_os_2y,tf_compact,penalised_logistic,0.907,0.912,-0.005,-0.025,0.013,0.621,0.107,0.109,0.924,False,True,True,False
